hwts,returnTicks,replyTicks,migrationProbability
1,1.2047e+06,1.205e+06,0
2,1.256e+06,1.8992e+06,0.001
4,1.2813e+06,4.1893e+06,0.0005
8,1.296e+06,9.2533e+06,0.00025
16,1.3015e+06,1.9605e+07,0.00012501
32,1.3053e+06,4.0424e+07,6.2502e-05
64,1.3084e+06,8.2113e+07,1.5625e-05
128,1.3091e+06,1.6555e+08,1.5625e-05
240,1.3094e+06,3.1155e+08,8.3333e-06
